boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
Brooklyn,70,Yes,18-24,Male,Asian or Pacific Islander
The Bronx,44,No,18-24,Male,White Hispanic
The Bronx,44,No,18 And Under,Female,Black
Manhattan,32,No,25-44,Male,Unknown
Brooklyn,66,No,18-24,Male,Asian or Pacific Islander
Brooklyn,66,No,18 And Under,Female,Asian or Pacific Islander
The Bronx,46,Yes,25-44,Male,Black
Queens,105,No,45-64,Male,Asian or Pacific Islander
Brooklyn,69,No,18 And Under,Male,Black
Queens,105,Yes,25-44,Male,Black
Brooklyn,81,No,18 And Under,Male,Black
The Bronx,48,Yes,18 And Under,Female,Black
The Bronx,48,No,18 And Under,Male,Black
Brooklyn,79,No,25-44,Male,Black
Brooklyn,75,Yes,45-64,Male,Black
Manhattan,32,No,25-44,Male,Black
Manhattan,34,No,25-44,Male,Unknown
The Bronx,40,No,25-44,Male,Black
Brooklyn,73,No,18-24,Male,Black
Brooklyn,81,No,25-44,Male,White Hispanic
Queens,105,No,18-24,Male,Black
Manhattan,32,No,18-24,Male,Black
Manhattan,32,No,45-64,Female,White Hispanic
Queens,113,No,25-44,Male,Black
Queens,106,No,25-44,Male,White Hispanic
Queens,106,Yes,25-44,Male,White Hispanic
Queens,106,No,25-44,Male,White Hispanic
Queens,106,Yes,25-44,Male,White Hispanic
Manhattan,20,No,25-44,Male,Black Hispanic
Brooklyn,84,No,18-24,Male,Black
Brooklyn,84,No,18 And Under,Male,Black
The Bronx,40,No,18-24,Male,Black
Queens,103,No,25-44,Male,Black
Brooklyn,75,No,25-44,Female,White Hispanic
The Bronx,40,No,25-44,Male,White Hispanic
Brooklyn,67,No,18-24,Male,Black
Manhattan,23,No,18 And Under,Female,Black
Brooklyn,73,No,18-24,Female,Black
Brooklyn,73,No,18-24,Male,Black
The Bronx,40,Yes,18-24,Male,Black
Brooklyn,69,Yes,18-24,Male,Black
Queens,114,No,25-44,Male,Black
Queens,113,No,25-44,Male,Black
Brooklyn,77,No,25-44,Male,Black
The Bronx,46,No,25-44,Male,Black
